station_id,station_name,n_observations,alpha_hier,alpha_np,shrinkage,obs_group,mae_hier,mae_np,mae_diff
26,"CHATHAM 1 SE, MI US",93,24.83804781438877,25.554963061720628,0.7169152473318583,80-100,7.585775574435824,7.595105465338042,0.009329890902217919
27,"MUNSING LAKESHORE, MI US",97,26.32215596790054,27.150699893281523,0.8285439253809841,80-100,7.268336197184809,7.286608124326448,0.018271927141639388
28,"GAYLORD 9 SSW, MI US",190,26.70903902812188,27.65008098308,0.9410419549581199,100+,8.328712004501153,8.405463335831254,0.07675133133010092
29,"NORTHPORT 2 W, MI US",96,29.733751471539858,30.848991509264565,1.115240037724707,80-100,7.164353045291134,7.312440912673943,0.14808786738280943
30,"CHEBOYGAN, MI US",77,26.657192680563423,27.491081001235038,0.8338883206716154,60-80,8.53739563917605,8.586840425414572,0.04944478623852078
31,"DETROIT WILLOW RUN AIRPORT, MI US",97,33.03525619392539,34.402640653809556,1.367384459884164,80-100,9.471527472068782,9.535707109837695,0.06417963776891256
32,"TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US",97,29.551043357584373,30.62434597576429,1.0733026181799161,80-100,7.572112576420084,7.723912607757529,0.15180003133744524
33,"ANN ARBOR MUNICIPAL AIRPORT, MI US",97,32.39182000151694,33.68664482004198,1.2948248185250364,80-100,9.566098491689496,9.576948103949347,0.010849612259850261
34,"SAULT STE MARIE SANDERSON FIELD, MI US",97,22.560551166034426,23.13778989825989,0.5772387322254637,80-100,8.327098552612398,8.356853126438452,0.029754573826053843
35,"CASS CITY 1 SSW, MI US",92,29.300626554986618,30.365706101370844,1.0650795463842258,80-100,9.502867512812,9.54237811191413,0.039510599102131394
36,"ADRIAN 2 NNE, MI US",73,34.278434046000505,35.88615549664625,1.607721450645748,60-80,9.886770225448977,9.941421830266162,0.05465160481718456
37,"HASTINGS, MI US",95,31.893656504415684,33.16693710636653,1.273280601950848,80-100,9.671168500582416,9.81318972897588,0.14202122839346387
38,"MORENCI, MI US",76,32.95315640155404,34.426189318439256,1.4730329168852165,60-80,9.408847998545236,9.600913700426352,0.19206570188111627
39,"CHATHAM EXPERIMENT FARM 2, MI US",94,25.482312851509253,26.276459807080645,0.7941469555713923,80-100,7.883870742679887,7.927725947452206,0.043855204772318856
40,"IRON MOUNTAIN FORD AIRPORT, MI US",93,26.063436386737106,26.851883337702933,0.7884469509658274,80-100,8.213764581917584,8.230157194888227,0.016392612970642872
41,"PORT HOPE, MI US",97,29.73292626694619,30.85395881969586,1.1210325527496678,80-100,7.612807469761889,7.7411194370078595,0.1283119672459705
42,"COPPER HARBOR, MI US",95,26.057300787612316,26.889879468493405,0.8325786808810882,80-100,6.839279230567747,6.92376814391225,0.08448891334450348
43,"HANCOCK HOUGHTON CO AIRPORT, MI US",97,25.36563174850941,26.164141191685772,0.7985094431763606,80-100,7.822904534355875,7.886841710830528,0.0639371764746528
44,"BURTON 4 N, MI US",75,29.500920073569432,30.60658193262435,1.1056618590549192,60-80,10.057889602129848,10.187572278136768,0.12968267600692052
45,"LAPEER 2 W, MI US",97,31.102451091807374,32.30884659368214,1.2063955018747663,80-100,10.002719500762296,10.045426546745245,0.042707045982949055
46,"ENGADINE MDOT, MI US",94,23.624689165363552,24.283277563409868,0.6585883980463159,80-100,7.929948242519312,7.915935723411942,-0.01401251910736967
47,"LAPEER WWTP, MI US",97,30.713988281398525,31.900022627433174,1.1860343460346492,80-100,9.838117578640889,9.933835693118068,0.09571811447717948
48,"DOWAGIAC 1 W, MI US",31,31.309019919270135,33.01947605319732,1.7104561339271882,29-40,10.068917614932044,10.178732470660036,0.10981485572799166
49,"HOLLAND TULIP CITY AIRPORT, MI US",96,33.65516734834054,35.08447147038374,1.4293041220431988,80-100,8.889326503504122,9.0411466030482,0.15182009954407683
50,"STAMBAUGH 2 SSE, MI US",97,22.261213621670088,22.75510666866773,0.49389304699764125,80-100,10.020800230489705,10.037982865481792,0.017182634992087387
51,"GRANDVILLE 1 SW, MI US",85,32.04341084950786,33.39453925804864,1.3511284085407809,80-100,9.020257819289075,9.21884243985061,0.19858462056153492
52,"K.I. SAWYER WWTP, MI US",97,26.265989286155126,27.08732096375659,0.8213316776014636,80-100,7.722979470785358,7.799185502727762,0.07620603194240427
53,"DETROIT METRO AIRPORT, MI US",97,33.5002487854039,34.871520517721905,1.3712717323180073,80-100,9.331821783304655,9.469911358269664,0.13808957496500973
54,"ALPENA CO REGIONAL AIRPORT, MI US",97,26.329753495469216,27.196649490425347,0.8668959949561312,80-100,8.362568861625602,8.422860937266002,0.06029207564039929
55,"NILES, MI US",95,36.67047737332156,38.33499274498325,1.6645153716616932,80-100,9.717991899598207,9.80862281702014,0.09063091742193308
56,"EAST JORDAN 2 NW, MI US",95,28.62067458718624,29.63849018942827,1.017815602242031,80-100,8.436624759820294,8.527513656898938,0.0908888970786439
57,"ADRIAN LENAWEE CO AIRPORT, MI US",97,33.71582162186109,35.11875944523898,1.40293782337789,80-100,9.45505731999453,9.484266081320765,0.029208761326234622
58,"GAYLORD OTSEGO CO AIRPORT, MI US",97,25.397951753577175,26.164066430894025,0.7661146773168497,80-100,8.692414334254218,8.731680811789438,0.039266477535219835
59,"HARBOR BEACH 1 SSE, MI US",91,29.20488129055859,30.241453692258677,1.036572401700088,80-100,8.208584589670133,8.316853295496445,0.10826870582631187
60,"AMASA 1 W, MI US",80,22.789290320862815,23.246987315984207,0.45769699512139184,60-80,9.846698620560272,9.889480220933702,0.042781600373430706
61,"LINDEN WWTP, MI US",92,30.426246464806788,31.595450943689613,1.1692044788828255,80-100,9.838001747693193,9.943729021015143,0.10572727332194987
62,"EAST GRAND RAPIDS, MI US",97,32.03475736472945,33.32412505696186,1.2893676922324104,80-100,9.180853491870955,9.300244746754542,0.11939125488358648
63,"DEARBORN, MI US",93,33.375727538453525,34.769257179481976,1.3935296410284508,80-100,9.372927699525967,9.483073254535963,0.11014555500999634
64,"MICHIGAMME, MI US",83,21.09585577985497,21.44794161437716,0.35208583452219244,80-100,9.641289804121397,9.662499794152856,0.021209990031458403
65,"STANDISH 4 NE, MI US",94,29.066638271912566,30.120691049391876,1.0540527774793098,80-100,8.583191513246721,8.671069905501257,0.08787839225453631
66,"DEARBORN NUMBER 2, MI US",95,32.64450827633013,33.977491554873666,1.3329832785435372,80-100,9.330548184077848,9.436633161801252,0.10608497772340364
67,"MARQUETTE WEATHER FORECAST OFFICE, MI US",97,22.451436875100313,22.983089145151936,0.5316522700516231,80-100,8.151352956601952,8.197978742007228,0.04662578540527562
68,"ESCANABA DELTA CO AIRPORT, MI US",92,26.304112141527206,27.148747218163457,0.8446350766362514,80-100,7.441584354493147,7.4765049498696525,0.034920595376505936
69,"PETOSKEY, MI US",93,26.69400962163082,27.556875667233815,0.8628660456029955,80-100,8.093407838309808,8.163274592568023,0.06986675425821431
70,"MIO WWTP, MI US",97,27.299126325561854,28.20252148100373,0.9033951554418742,80-100,9.129722208261079,9.178439049212114,0.04871684095103568
71,"RICHMOND 4 NNW, MI US",82,30.19415686700878,31.35750172226911,1.1633448552603305,80-100,10.37342956972374,10.458552364011082,0.08512279428734182
72,"ALBERTA FORD FOR CENTER, MI US",59,23.352789745267184,23.699396551867387,0.34660680660020304,40-60,12.39195216286487,12.398736098417093,0.006783935552222786
73,"CADILLAC 9 AND 10 NEWS, MI US",83,27.193144121541163,28.0815974401146,0.8884533185734362,80-100,8.779904581123109,8.844710187086754,0.06480560596364526
74,"CARO WWTP, MI US",92,29.32167291582992,30.414398339392623,1.092725423562701,80-100,9.609593562317874,9.704613164366805,0.09501960204893045
75,"GROSSE POINTE FARMS, MI US",96,32.07711033620351,33.389168161420656,1.3120578252171455,80-100,8.867312456840803,8.974252491334651,0.10694003449384759
76,"WEST BRANCH 3 SE, MI US",97,26.984859417070933,27.901460548440244,0.9166011313693119,80-100,8.816469473575882,8.903586032570503,0.08711655899462123
77,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",97,32.553669221979355,33.900484041785276,1.346814819805921,80-100,9.299594392129688,9.423155373107484,0.12356098097779622
78,"CHIPPEWA INTERNATIONAL AIRPORT, MI US",96,23.750092030366048,24.40918726048008,0.6590952301140334,80-100,7.8001397523748075,7.84064728744297,0.04050753506816207
79,"PETOSKEY NCMC, MI US",97,25.690461889927384,26.466764614263013,0.7763027243356291,80-100,8.795750427899806,8.846792616603869,0.05104218870406285
80,"CENTRAL MICHIGAN UNIVERSITY, MI US",66,31.917756908900685,33.32755080109746,1.4097938921967739,60-80,8.589354630255626,8.692181940673814,0.10282731041818849
81,"BENTON HARBOR, MI US",97,34.988498190898476,36.498471307737596,1.5099731168391202,80-100,8.919170073184292,9.07250411053807,0.15333403735377793
82,"WATTON 2 WSW, MI US",93,22.45711140610453,23.00338681278474,0.5462754066802091,80-100,9.609969394673,9.638014004568088,0.028044609895088612
83,"MIDLAND, MI US",94,28.215031039536942,29.208003136030243,0.9929720964933004,80-100,7.563009197487445,7.628461880190254,0.06545268270280857
84,"SENEY MICHIGAN, MI US",92,26.012205317747036,26.803974565483717,0.7917692477366813,80-100,7.466622658373795,7.481666497171632,0.015043838797836884
