station_id,station_name,n_train,n_test,mae_np,mae_hier,improvement,train_group
53,"DETROIT METRO AIRPORT, MI US",78,19,10.282169208529137,10.13661792392621,0.1455512846029272,70-90
54,"ALPENA CO REGIONAL AIRPORT, MI US",78,19,9.0925148016457,9.080523909802928,0.01199089184277291,70-90
55,"NILES, MI US",76,19,10.645015300458526,10.686505846827991,-0.04149054636946481,70-90
56,"EAST JORDAN 2 NW, MI US",76,19,10.02695338843171,10.026408554876172,0.000544833555538915,70-90
57,"ADRIAN LENAWEE CO AIRPORT, MI US",78,19,8.038145127160307,8.015241048564876,0.022904078595431088,70-90
58,"GAYLORD OTSEGO CO AIRPORT, MI US",78,19,8.312656648193043,8.32952373568067,-0.01686708748762733,70-90
59,"HARBOR BEACH 1 SSE, MI US",73,18,10.299000054577403,10.275831688806022,0.02316836577138126,70-90
60,"AMASA 1 W, MI US",64,16,10.067826724056694,10.067130653187455,0.0006960708692389517,50-70
61,"LINDEN WWTP, MI US",74,18,11.90029166625812,11.904343741282196,-0.004052075024075563,70-90
62,"EAST GRAND RAPIDS, MI US",78,19,8.774478176225026,8.662324508396136,0.11215366782889014,70-90
63,"DEARBORN, MI US",75,18,7.707008844880543,7.803095230596854,-0.096086385716311,70-90
64,"MICHIGAMME, MI US",67,16,8.605120070177042,8.407228856278362,0.19789121389868036,50-70
65,"STANDISH 4 NE, MI US",76,18,9.699273671696847,9.69727076163605,0.002002910060797447,70-90
66,"DEARBORN NUMBER 2, MI US",76,19,9.804976974531279,9.856534541139103,-0.05155756660782451,70-90
67,"MARQUETTE WEATHER FORECAST OFFICE, MI US",78,19,7.399726601817314,7.365651701605361,0.034074900211952475,70-90
68,"ESCANABA DELTA CO AIRPORT, MI US",74,18,7.073539474281033,7.045276835448967,0.028262638832066145,70-90
69,"PETOSKEY, MI US",75,18,9.036984523078477,9.057504961257434,-0.020520438178957434,70-90
70,"MIO WWTP, MI US",78,19,8.35852769434972,8.363998137504085,-0.005470443154365512,70-90
71,"RICHMOND 4 NNW, MI US",66,16,11.250016072584348,11.259719978878588,-0.009703906294239673,50-70
72,"ALBERTA FORD FOR CENTER, MI US",48,11,11.836845903283155,11.902336285423683,-0.06549038214052771,30-50
73,"CADILLAC 9 AND 10 NEWS, MI US",67,16,10.630066308671669,10.631754024150261,-0.0016877154785923665,50-70
74,"CARO WWTP, MI US",74,18,9.726168010361697,9.695403974352978,0.03076403600871913,70-90
75,"GROSSE POINTE FARMS, MI US",77,19,9.699053914641805,9.63508269675448,0.06397121788732463,70-90
76,"WEST BRANCH 3 SE, MI US",78,19,7.742146794311336,7.768117352106919,-0.025970557795583105,70-90
77,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",78,19,9.615713603050498,9.699010676831517,-0.08329707378101858,70-90
78,"CHIPPEWA INTERNATIONAL AIRPORT, MI US",77,19,8.700543679575185,8.676978483241504,0.02356519633368137,70-90
79,"PETOSKEY NCMC, MI US",78,19,6.676986221696115,6.690912752903791,-0.01392653120767573,70-90
80,"CENTRAL MICHIGAN UNIVERSITY, MI US",53,13,8.269197401087833,8.386477412406018,-0.11728001131818466,50-70
81,"BENTON HARBOR, MI US",78,19,9.190291506182447,9.315553058460852,-0.1252615522784044,70-90
82,"WATTON 2 WSW, MI US",75,18,9.075150045257029,9.005661656116114,0.06948838914091482,70-90
83,"MIDLAND, MI US",76,18,8.819360377303243,8.808318593230736,0.011041784072507,70-90
84,"SENEY MICHIGAN, MI US",74,18,8.1508758215291,8.181937352328143,-0.03106153079904317,70-90
85,"WHITE LAKE 4 E, MI US",78,19,10.91712769673033,10.8811180699867,0.0360096267436294,70-90
86,"IRONWOOD, MI US",77,19,9.833084333699611,9.666300961426106,0.16678337227350504,70-90
87,"IRONWOOD NUMBER 2, MI US",76,19,10.855341447621734,10.974041857470505,-0.1187004098487705,70-90
88,"TAHQUAMENON FALLS S P, MI US",32,8,9.72832914764166,9.992110983688406,-0.2637818360467463,30-50
89,"HILLSDALE, MI US",53,13,7.692019640327275,7.627901416540949,0.06411822378632603,50-70
90,"FLINT 7 W, MI US",52,13,11.140530470613445,10.972267056019781,0.1682634145936639,50-70
91,"BATTLE CREEK 5 NW, MI US",48,12,10.756368848312286,10.824902750198781,-0.06853390188649477,30-50
92,"HOUGHTON LAKE ROSCOMMON CO AIRPORT, MI US",77,19,8.38866088076754,8.292945484453522,0.09571539631401826,70-90
93,"KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US",78,19,8.954523532814735,8.977313914516671,-0.02279038170193637,70-90
